period_month,site_id,site_name,ghg_scope,ghg_category,activity_type,activity_name,quantity,unit,spend_gbp,vendor,artifact_hint,notes
2025-12,aberdeen-depot,Aberdeen Depot,3,1,purchased_goods,steel_components,,,14200.00,Sheffield Alloys,erp,Quantity blank — spend-based
2025-03,aberdeen-depot,Aberdeen Depot,3,1,purchased_goods,industrial_lubricants,,,4600.00,Castrol Industrial,erp,Quantity blank — spend-based
2025-06,leeds-hq,Leeds HQ,3,1,purchased_goods,industrial_lubricants,,,5100.00,Castrol Industrial,erp,Quantity blank — spend-based
2025-09,aberdeen-depot,Aberdeen Depot,3,1,purchased_goods,industrial_lubricants,,,4300.00,Castrol Industrial,erp,Quantity blank — spend-based
2025-12,leeds-hq,Leeds HQ,3,1,purchased_goods,industrial_lubricants,,,4400.00,Castrol Industrial,erp,Quantity blank — spend-based
2025-02,leeds-hq,Leeds HQ,3,1,purchased_goods,electrical_cables,,,12800.00,Prysmian UK,erp,Quantity blank — spend-based
2025-05,aberdeen-depot,Aberdeen Depot,3,1,purchased_goods,electrical_cables,,,14100.00,Prysmian UK,erp,Quantity blank — spend-based
2025-08,leeds-hq,Leeds HQ,3,1,purchased_goods,electrical_cables,,,11900.00,Prysmian UK,erp,Quantity blank — spend-based
2025-11,aberdeen-depot,Aberdeen Depot,3,1,purchased_goods,electrical_cables,,,13200.00,Prysmian UK,erp,Quantity blank — spend-based
2025-04,leeds-hq,Leeds HQ,3,1,purchased_goods,office_supplies,,,1600.00,Lyreco,erp,Immaterial; assume spend-based
2025-08,leeds-hq,Leeds HQ,3,1,purchased_goods,office_supplies,,,2100.00,Lyreco,erp,Immaterial; assume spend-based
2025-12,leeds-hq,Leeds HQ,3,1,purchased_goods,office_supplies,,,2500.00,Lyreco,erp,Immaterial; assume spend-based
